未分组,#genre#
广东民生高清,http://pr.19760929.xyz:9688/rtp/239.77.0.225:5146
广东民生高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.225:5146
广东体育,http://pr.19760929.xyz:9688/rtp/239.77.0.6:5146
广东体育,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.6:5146
广东体育,http://t.061899.xyz/tl/js/js.php?id=gdty
广东体育,http://m.061899.xyz/mg/gdty
广东体育,http://k.061899.xyz/m.php?id=gdty
广东体育,http://go.bkpcp.top/mg/gdty
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
广东体育,http://php.jdshipin.com:8880/PLTV/iptv.php?id=gdty
广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广东体育（深圳）,http://pr.19760929.xyz:9688/rtp/239.77.1.97:5146
广东体育（深圳）,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.97:5146
广东体育高清-测试,http://pr.19760929.xyz:9688/rtp/239.77.0.112:5146
广东体育高清-测试,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.112:5146
广东体育超清,http://pr.19760929.xyz:9688/rtp/239.77.0.168:5146
广东体育超清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.168:5146
广东国际,http://pr.19760929.xyz:9688/rtp/239.77.0.7:5146
广东国际,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.7:5146
广东国际,http://php.jdshipin.com:8880/chudian.php?id=gdgj
经济科教,http://pr.19760929.xyz:9688/rtp/239.77.0.8:5146
经济科教,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.8:5146
经济科教高清,http://pr.19760929.xyz:9688/rtp/239.77.0.85:5146
经济科教高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.85:5146
经济科教超清,http://pr.19760929.xyz:9688/rtp/239.77.0.167:5146
经济科教超清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.167:5146
大湾区卫视,http://pr.19760929.xyz:9688/rtp/239.77.0.9:5146
大湾区卫视,http://pr.19760929.xyz:9688/rtp/239.77.1.12:5146
大湾区卫视,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.9:5146
大湾区卫视,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.12:5146
大湾区卫视,http://go.bkpcp.top/mg/dwqws
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
大湾区卫视高清,http://pr.19760929.xyz:9688/rtp/239.77.0.215:5146
大湾区卫视高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.215:5146
广东影视,http://pr.19760929.xyz:9688/rtp/239.77.0.11:5146
广东影视,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.11:5146
广东影视,http://go.bkpcp.top/mg/gdys
广东影视,http://php.jdshipin.com:8880/chudian.php?id=gdys
广东影视高清,http://pr.19760929.xyz:9688/rtp/239.77.0.217:5146
广东影视高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.217:5146
广东少儿,http://pr.19760929.xyz:9688/rtp/239.77.0.12:5146
广东少儿,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.12:5146
广东少儿,http://php.jdshipin.com:8880/chudian.php?id=gdse
广东少儿高清,http://pr.19760929.xyz:9688/rtp/239.77.0.250:5146
广东少儿高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.250:5146
嘉佳卡通,http://pr.19760929.xyz:9688/rtp/239.77.0.13:5146
嘉佳卡通,http://pr.19760929.xyz:9688/rtp/239.77.1.15:5146
嘉佳卡通,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.13:5146
嘉佳卡通,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.15:5146
嘉佳卡通,http://php.jdshipin.com:8880/chudian.php?id=jjkt
嘉佳卡通高清,http://pr.19760929.xyz:9688/rtp/239.77.0.179:5146
嘉佳卡通高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.179:5146
南方购物-精选,http://pr.19760929.xyz:9688/rtp/239.77.0.19:5146
南方购物-精选,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.19:5146
南方购物,http://pr.19760929.xyz:9688/rtp/239.77.0.22:5146
南方购物,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.22:5146
岭南戏曲,http://pr.19760929.xyz:9688/rtp/239.77.0.16:5146
岭南戏曲,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.16:5146
广东房产,http://pr.19760929.xyz:9688/rtp/239.77.0.14:5146
广东房产,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.14:5146
现代教育,http://pr.19760929.xyz:9688/rtp/239.77.0.18:5146
现代教育,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.18:5146
广东移动,http://pr.19760929.xyz:9688/rtp/239.77.0.20:5146
广东移动,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.20:5146
广东移动,http://php.jdshipin.com:8880/chudian.php?id=gdyd
广东综艺 4K50p,http://pr.19760929.xyz:9688/rtp/239.77.1.236:5146
广东综艺 4K50p,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.236:5146
广东综艺 4K,http://pr.19760929.xyz:9688/rtp/239.77.1.237:5146
广东综艺 4K,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.237:5146
广东综艺(4k),http://pr.19760929.xyz:9688/rtp/239.77.0.244:5146
广东综艺(4k),http://pr.19760929.xyz:9688/rtp/239.77.0.245:5146
广东综艺(4k),http://lbyjlt.vv5678.cn:8880/udp/239.77.0.244:5146
广东综艺(4k),http://lbyjlt.vv5678.cn:8880/udp/239.77.0.245:5146
广东综艺 宽色域(4k),http://pr.19760929.xyz:9688/rtp/239.77.0.246:5146
广东综艺 宽色域(4k),http://lbyjlt.vv5678.cn:8880/udp/239.77.0.246:5146
广东综艺 宽色域AVS2(4k) (AVS2),http://pr.19760929.xyz:9688/rtp/239.77.0.252:5146
广东综艺 宽色域AVS2(4k) (AVS2),http://lbyjlt.vv5678.cn:8880/udp/239.77.0.252:5146
广州综合,http://pr.19760929.xyz:9688/rtp/239.253.43.66:5146
广州综合,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.66:5146
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
广州综合,http://go.bkpcp.top/mg/gzzh
广州综合,http://php.jdshipin.com:8880/PLTV/iptv.php?id=gzzh
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州综合,http://r.jdshipin.com/iR6Gq
广州综合高清,http://pr.19760929.xyz:9688/rtp/239.253.43.71:5146
广州综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.71:5146
广州新闻,http://pr.19760929.xyz:9688/rtp/239.253.43.67:5146
广州新闻,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.67:5146
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州新闻高清,http://pr.19760929.xyz:9688/rtp/239.253.43.72:5146
广州新闻高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.72:5146
广州影视,http://pr.19760929.xyz:9688/rtp/239.253.43.68:5146
广州影视,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.68:5146
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=ec79a0d817981989c161f548c48c2954&txTime=1903e79e680
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=ec79a0d817981989c161f548c48c2954&txTime=1903e79e680
广州影视,http://go.bkpcp.top/mg/gzys
广州影视,http://php.jdshipin.com:8880/PLTV/iptv.php?id=gzys
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州影视,http://r.jdshipin.com/TcKr2
广州影视高清,http://pr.19760929.xyz:9688/rtp/239.253.43.73:5146
广州影视高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.73:5146
广州法治,http://pr.19760929.xyz:9688/rtp/239.253.43.69:5146
广州法治,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.69:5146
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=040cda8ae37088f2b96bea7b68bd0eb5&txTime=1903e5b8abe
广州法治,http://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=3e84cd8eba844b5dc2150612295c7a52&txTime=18d578f4493
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=040cda8ae37088f2b96bea7b68bd0eb5&txTime=1903e5b8abe
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州法治高清,http://pr.19760929.xyz:9688/rtp/239.253.43.74:5146
广州法治高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.74:5146
广州竞赛,http://pr.19760929.xyz:9688/rtp/239.253.43.70:5146
广州竞赛,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.70:5146
广州竞赛,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=9be68e7c35579d02d11f6968531343ea&txTime=1903ea2dd6a
广州竞赛,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=a4d04c27d0d1d8b7efef2ed7ff1c3eae&txTime=191b60cc9ca
广州竞赛,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=9be68e7c35579d02d11f6968531343ea&txTime=1903ea2dd6a
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州竞赛高清,http://pr.19760929.xyz:9688/rtp/239.253.43.75:5146
广州竞赛高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.75:5146
南国都市 4K,http://pr.19760929.xyz:9688/rtp/239.253.43.99:5146
南国都市 4K,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.99:5146
广视课堂 小学一,http://pr.19760929.xyz:9688/rtp/239.253.43.76:5146
广视课堂 小学一,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.76:5146
广视课堂 小学二,http://pr.19760929.xyz:9688/rtp/239.253.43.77:5146
广视课堂 小学二,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.77:5146
广视课堂 小学三,http://pr.19760929.xyz:9688/rtp/239.253.43.78:5146
广视课堂 小学三,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.78:5146
广视课堂 小学四,http://pr.19760929.xyz:9688/rtp/239.253.43.79:5146
广视课堂 小学四,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.79:5146
广视课堂 小学五,http://pr.19760929.xyz:9688/rtp/239.253.43.80:5146
广视课堂 小学五,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.80:5146
广视课堂 小学六,http://pr.19760929.xyz:9688/rtp/239.253.43.81:5146
广视课堂 小学六,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.81:5146
广视课堂 初一,http://pr.19760929.xyz:9688/rtp/239.253.43.89:5146
广视课堂 初一,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.89:5146
广视课堂 初二,http://pr.19760929.xyz:9688/rtp/239.253.43.90:5146
广视课堂 初二,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.90:5146
广视课堂 初三,http://pr.19760929.xyz:9688/rtp/239.253.43.91:5146
广视课堂 初三,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.91:5146
广视课堂 高一,http://pr.19760929.xyz:9688/rtp/239.253.43.92:5146
广视课堂 高一,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.92:5146
广视课堂 高二,http://pr.19760929.xyz:9688/rtp/239.253.43.93:5146
广视课堂 高二,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.93:5146
深圳卫视,http://pr.19760929.xyz:9688/rtp/239.77.0.55:5146
深圳卫视,http://pr.19760929.xyz:9688/rtp/239.77.1.21:5146
深圳卫视,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.55:5146
深圳卫视,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.21:5146
深圳卫视,http://nn.7x9d.cn/深圳最新.php?id=szws
深圳卫视,http://120.233.73.4:19901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视高清,http://pr.19760929.xyz:9688/rtp/239.77.1.3:5146
深圳卫视高清,http://pr.19760929.xyz:9688/rtp/239.77.1.148:5146
深圳卫视高清,http://pr.19760929.xyz:9688/rtp/239.77.0.92:5146
深圳卫视高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.3:5146
深圳卫视高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.148:5146
深圳卫视高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.92:5146
深圳卫视超清,http://pr.19760929.xyz:9688/rtp/239.77.0.130:5146
深圳卫视超清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.130:5146
深圳都市频道,http://pr.19760929.xyz:9688/rtp/239.77.1.34:5146
深圳都市频道,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.34:5146
深圳都市频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.176:5146
深圳都市频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.124:5146
深圳都市频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.176:5146
深圳都市频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.124:5146
深圳电视剧频道,http://pr.19760929.xyz:9688/rtp/239.77.1.7:5146
深圳电视剧频道,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.7:5146
深圳电视剧频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.177:5146
深圳电视剧频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.125:5146
深圳电视剧频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.177:5146
深圳电视剧频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.125:5146
深圳财经生活,http://pr.19760929.xyz:9688/rtp/239.77.1.22:5146
深圳财经生活,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.22:5146
深圳财经生活高清,http://pr.19760929.xyz:9688/rtp/239.77.1.242:5146
深圳财经生活高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.242:5146
深圳娱乐频道,http://pr.19760929.xyz:9688/rtp/239.77.1.36:5146
深圳娱乐频道,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.36:5146
深圳娱乐频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.243:5146
深圳娱乐频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.243:5146
深圳体育健康,http://pr.19760929.xyz:9688/rtp/239.77.1.8:5146
深圳体育健康,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.8:5146
深圳体育健康高清,http://pr.19760929.xyz:9688/rtp/239.77.1.128:5146
深圳体育健康高清,http://pr.19760929.xyz:9688/rtp/239.77.1.140:5146
深圳体育健康高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.128:5146
深圳体育健康高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.140:5146
深圳少儿频道,http://pr.19760929.xyz:9688/rtp/239.77.1.38:5146
深圳少儿频道,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.38:5146
深圳少儿频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.244:5146
深圳少儿频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.244:5146
深圳公共频道,http://pr.19760929.xyz:9688/rtp/239.77.1.9:5146
深圳公共频道,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.9:5146
深圳公共频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.178:5146
深圳公共频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.126:5146
深圳公共频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.178:5146
深圳公共频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.126:5146
深圳宝安频道（音频）,http://pr.19760929.xyz:9688/rtp/239.77.1.206:5146
深圳宝安频道（音频）,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.206:5146
深圳宝安频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.67:5146
深圳宝安频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.67:5146
深圳宝安第一课,http://pr.19760929.xyz:9688/rtp/239.77.1.225:5146
深圳宝安第一课,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.225:5146
深圳龙岗频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.223:5146
深圳龙岗频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.223:5146
深圳东部频道高清,http://pr.19760929.xyz:9688/rtp/239.77.1.224:5146
深圳东部频道高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.224:5146
深圳众创TV高清,http://pr.19760929.xyz:9688/rtp/239.77.1.247:5146
深圳众创TV高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.247:5146
深圳移动电视,http://pr.19760929.xyz:9688/rtp/239.77.1.175:5146
深圳移动电视,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.175:5146
深圳宜和购物,http://pr.19760929.xyz:9688/rtp/239.77.1.39:5146
深圳宜和购物,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.39:5146
深圳宜和购物高清,http://pr.19760929.xyz:9688/rtp/239.77.1.87:5146
深圳宜和购物高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.87:5146
韶关新闻综合,http://pr.19760929.xyz:9688/rtp/239.77.0.116:5146
韶关新闻综合,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.116:5146
韶关新闻综合高清,http://pr.19760929.xyz:9688/rtp/239.77.0.117:5146
韶关新闻综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.117:5146
韶关绿色生活,http://pr.19760929.xyz:9688/rtp/239.77.0.118:5146
韶关绿色生活,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.118:5146
韶关绿色生活高清,http://pr.19760929.xyz:9688/rtp/239.77.0.119:5146
韶关绿色生活高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.119:5146
湛江新闻综合,http://pr.19760929.xyz:9688/rtp/239.77.0.120:5146
湛江新闻综合,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.120:5146
湛江新闻综合,http://gbtv-hls-wjq.zjwtv.com/zjtv/zhpd.m3u8
湛江新闻综合高清,http://pr.19760929.xyz:9688/rtp/239.77.0.141:5146
湛江新闻综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.141:5146
湛江公共,http://pr.19760929.xyz:9688/rtp/239.77.0.121:5146
湛江公共,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.121:5146
湛江公共,http://gbtv-hls-wjq.zjwtv.com/zjtv/ggpd.m3u8
湛江公共高清,http://pr.19760929.xyz:9688/rtp/239.77.0.140:5146
湛江公共高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.140:5146
揭阳综合,http://pr.19760929.xyz:9688/rtp/239.77.0.157:5146
揭阳综合,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.157:5146
揭阳综合高清,http://pr.19760929.xyz:9688/rtp/239.77.0.229:5146
揭阳综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.229:5146
揭阳生活,http://pr.19760929.xyz:9688/rtp/239.77.0.158:5146
揭阳生活,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.158:5146
揭阳生活高清,http://pr.19760929.xyz:9688/rtp/239.77.0.251:5146
揭阳生活高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.251:5146
汕尾新闻综合,http://pr.19760929.xyz:9688/rtp/239.77.1.189:5146
汕尾新闻综合,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.189:5146
汕尾新闻综合高清,http://pr.19760929.xyz:9688/rtp/239.77.0.25:5146
汕尾新闻综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.25:5146
汕尾文化生活,http://pr.19760929.xyz:9688/rtp/239.77.1.190:5146
汕尾文化生活,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.190:5146
汕尾文化生活高清,http://pr.19760929.xyz:9688/rtp/239.77.0.187:5146
汕尾文化生活高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.187:5146
江门综合,http://pr.19760929.xyz:9688/rtp/239.77.0.195:5146
江门综合,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.195:5146
江门综合高清,http://pr.19760929.xyz:9688/rtp/239.77.0.201:5146
江门综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.201:5146
江门侨乡生活,http://pr.19760929.xyz:9688/rtp/239.77.0.196:5146
江门侨乡生活,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.196:5146
江门侨乡生活高清,http://pr.19760929.xyz:9688/rtp/239.77.0.202:5146
江门侨乡生活高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.202:5146
江门教育,http://pr.19760929.xyz:9688/rtp/239.77.0.197:5146
江门教育,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.197:5146
江门教育高清,http://pr.19760929.xyz:9688/rtp/239.77.0.203:5146
江门教育高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.203:5146
HZTV-1,http://pr.19760929.xyz:9688/rtp/239.77.0.247:5146
HZTV-1,http://pr.19760929.xyz:9688/rtp/239.77.1.154:5146
HZTV-1,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.247:5146
HZTV-1,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.154:5146
HZTV-1高清,http://pr.19760929.xyz:9688/rtp/239.77.1.232:5146
HZTV-1高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.232:5146
HZTV-2,http://pr.19760929.xyz:9688/rtp/239.77.0.248:5146
HZTV-2,http://pr.19760929.xyz:9688/rtp/239.77.1.173:5146
HZTV-2,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.248:5146
HZTV-2,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.173:5146
HZTV-2高清,http://pr.19760929.xyz:9688/rtp/239.77.1.233:5146
HZTV-2高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.233:5146
珠海-1,http://pr.19760929.xyz:9688/rtp/239.77.1.230:5146
珠海-1,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.230:5146
珠海-1高清,http://pr.19760929.xyz:9688/rtp/239.77.0.155:5146
珠海-1高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.155:5146
珠海-2,http://pr.19760929.xyz:9688/rtp/239.77.1.231:5146
珠海-2,http://lbyjlt.vv5678.cn:8880/udp/239.77.1.231:5146
珠海-2高清,http://pr.19760929.xyz:9688/rtp/239.77.0.154:5146
珠海-2高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.154:5146
肇庆综合,http://pr.19760929.xyz:9688/rtp/239.253.43.3:5146
肇庆综合,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.3:5146
肇庆综合,http://zmylivestream.nfnews.com/zmy_slive/27872.m3u8
肇庆综合,http://php.jdshipin.com:8880/chudian.php?id=zqzh
肇庆综合高清,http://pr.19760929.xyz:9688/rtp/239.253.43.1:5146
肇庆综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.1:5146
肇庆生活服务,http://pr.19760929.xyz:9688/rtp/239.253.43.4:5146
肇庆生活服务,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.4:5146
肇庆生活服务,http://zmylivestream.nfnews.com/zmy_slive/27871.m3u8
肇庆生活服务高清,http://pr.19760929.xyz:9688/rtp/239.253.43.2:5146
肇庆生活服务高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.2:5146
河源综合,http://pr.19760929.xyz:9688/rtp/239.253.43.215:5146
河源综合,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.215:5146
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源综合,http://120.234.5.28:6000/udp/239.21.0.48:3532
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源综合,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源综合高清,http://pr.19760929.xyz:9688/rtp/239.253.43.213:5146
河源综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.213:5146
河源公共,http://pr.19760929.xyz:9688/rtp/239.253.43.216:5146
河源公共,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.216:5146
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
河源公共,http://120.234.5.28:6000/udp/239.21.0.49:3536
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
河源公共,http://php.jdshipin.com:8880/chudian.php?id=hygg
河源公共高清,http://pr.19760929.xyz:9688/rtp/239.253.43.214:5146
河源公共高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.214:5146
清远新闻综合,http://pr.19760929.xyz:9688/rtp/239.253.43.31:5146
清远新闻综合,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.31:5146
清远新闻综合,http://zmylivestream.nfnews.com/zmy_slive/25319.m3u8
清远新闻综合高清,http://pr.19760929.xyz:9688/rtp/239.253.43.33:5146
清远新闻综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.33:5146
清远文旅生活,http://pr.19760929.xyz:9688/rtp/239.253.43.32:5146
清远文旅生活,http://pr.19760929.xyz:9688/rtp/239.77.0.241:5146
清远文旅生活,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.32:5146
清远文旅生活,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.241:5146
清远文旅生活,http://zmylivestream.nfnews.com/zmy_slive/25321.m3u8
清远文旅生活高清,http://pr.19760929.xyz:9688/rtp/239.253.43.34:5146
清远文旅生活高清,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.34:5146
云浮综合,http://pr.19760929.xyz:9688/rtp/239.253.43.195:5146
云浮综合,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.195:5146
云浮综合,https://livestream.oeeee.com/slive/28283.m3u8
云浮综合,https://livestream.oeeee.com/slive/17806.m3u8
云浮综合高清,http://pr.19760929.xyz:9688/rtp/239.77.0.253:5146
云浮综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.253:5146
云浮文旅,http://pr.19760929.xyz:9688/rtp/239.253.43.194:5146
云浮文旅,http://lbyjlt.vv5678.cn:8880/udp/239.253.43.194:5146
云浮文旅,https://livestream.oeeee.com/slive/28284.m3u8
云浮文旅,https://livestream.oeeee.com/slive/17807.m3u8
云浮文旅高清,http://pr.19760929.xyz:9688/rtp/239.77.0.254:5146
云浮文旅高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.254:5146
茂名综合,http://pr.19760929.xyz:9688/rtp/239.77.0.204:5146
茂名综合,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.204:5146
茂名综合高清,http://pr.19760929.xyz:9688/rtp/239.77.0.206:5146
茂名综合高清,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.206:5146
茂名公共,http://pr.19760929.xyz:9688/rtp/239.77.0.205:5146
茂名公共,http://lbyjlt.vv5678.cn:8880/udp/239.77.0.205:5146
